governorate_en,governorate_ar,district_en,district_ar,date_monday,date_sunday,cases
Abyan,أبين,Ahwar,احوار,2018-07-02,2018-07-08,0
Abyan,أبين,Ahwar,احوار,2018-07-09,2018-07-15,0
Abyan,أبين,Ahwar,احوار,2018-07-16,2018-07-22,0
Abyan,أبين,Ahwar,احوار,2018-07-23,2018-07-29,0
Abyan,أبين,Ahwar,احوار,2018-07-30,2018-08-05,0
Abyan,أبين,Ahwar,احوار,2018-08-06,2018-08-12,0
Abyan,أبين,Ahwar,احوار,2018-08-13,2018-08-19,0
Abyan,أبين,Ahwar,احوار,2018-08-20,2018-08-26,0
Abyan,أبين,Ahwar,احوار,2018-08-27,2018-09-02,0
Abyan,أبين,Ahwar,احوار,2018-09-03,2018-09-09,0
Abyan,أبين,Ahwar,احوار,2018-09-10,2018-09-16,0
Abyan,أبين,Ahwar,احوار,2018-09-17,2018-09-23,0
Abyan,أبين,Ahwar,احوار,2018-09-24,2018-09-30,0
Abyan,أبين,Ahwar,احوار,2018-10-01,2018-10-07,3
Abyan,أبين,Ahwar,احوار,2018-10-08,2018-10-14,17
Abyan,أبين,Ahwar,احوار,2018-10-15,2018-10-21,0
Abyan,أبين,Ahwar,احوار,2018-10-22,2018-10-28,0
Abyan,أبين,Ahwar,احوار,2018-10-29,2018-11-04,0
Abyan,أبين,Ahwar,احوار,2018-11-05,2018-11-11,0
Abyan,أبين,Ahwar,احوار,2018-11-12,2018-11-18,0
Abyan,أبين,Ahwar,احوار,2018-11-19,2018-11-25,0
Abyan,أبين,Ahwar,احوار,2018-11-26,2018-12-02,0
Abyan,أبين,Ahwar,احوار,2018-12-03,2018-12-09,0
Abyan,أبين,Ahwar,احوار,2018-12-10,2018-12-16,0
Abyan,أبين,Ahwar,احوار,2018-12-17,2018-12-23,0
Abyan,أبين,Ahwar,احوار,2018-12-24,2018-12-30,0
Abyan,أبين,Ahwar,احوار,2018-12-31,2019-01-06,0
Abyan,أبين,Ahwar,احوار,2019-01-07,2019-01-13,0
Abyan,أبين,Ahwar,احوار,2019-01-14,2019-01-20,0
Abyan,أبين,Ahwar,احوار,2019-01-21,2019-01-27,0
Abyan,أبين,Ahwar,احوار,2019-01-28,2019-02-03,0
Abyan,أبين,Ahwar,احوار,2019-02-04,2019-02-10,0
Abyan,أبين,Ahwar,احوار,2019-02-11,2019-02-17,0
Abyan,أبين,Ahwar,احوار,2019-02-18,2019-02-24,0
Abyan,أبين,Ahwar,احوار,2019-02-25,2019-03-03,0
Abyan,أبين,Ahwar,احوار,2019-03-04,2019-03-10,1
Abyan,أبين,Ahwar,احوار,2019-03-11,2019-03-17,0
Abyan,أبين,Ahwar,احوار,2019-03-18,2019-03-24,0
Abyan,أبين,Ahwar,احوار,2019-03-25,2019-03-31,0
Abyan,أبين,Ahwar,احوار,2019-04-01,2019-04-07,0
Abyan,أبين,Ahwar,احوار,2019-04-08,2019-04-14,2
Abyan,أبين,Ahwar,احوار,2019-04-15,2019-04-21,0
Abyan,أبين,Ahwar,احوار,2019-04-22,2019-04-28,1
Abyan,أبين,Ahwar,احوار,2019-04-29,2019-05-05,0
Abyan,أبين,Ahwar,احوار,2019-05-06,2019-05-12,1
Abyan,أبين,Ahwar,احوار,2019-05-13,2019-05-19,0
Abyan,أبين,Ahwar,احوار,2019-05-20,2019-05-26,1
Abyan,أبين,Ahwar,احوار,2019-05-27,2019-06-02,2
Abyan,أبين,Ahwar,احوار,2019-06-03,2019-06-09,2
Abyan,أبين,Ahwar,احوار,2019-06-10,2019-06-16,0
Abyan,أبين,Ahwar,احوار,2019-06-17,2019-06-23,0
Abyan,أبين,Ahwar,احوار,2019-06-24,2019-06-30,1
Abyan,أبين,Ahwar,احوار,2019-07-01,2019-07-07,2
Abyan,أبين,Ahwar,احوار,2019-07-08,2019-07-14,3
Abyan,أبين,Ahwar,احوار,2019-07-15,2019-07-21,4
Abyan,أبين,Ahwar,احوار,2019-07-22,2019-07-28,1
Abyan,أبين,Ahwar,احوار,2019-07-29,2019-08-04,3
Abyan,أبين,Ahwar,احوار,2019-08-05,2019-08-11,0
Abyan,أبين,Ahwar,احوار,2019-08-12,2019-08-18,1
Abyan,أبين,Ahwar,احوار,2019-08-19,2019-08-25,0
Abyan,أبين,Ahwar,احوار,2019-08-26,2019-09-01,0
Abyan,أبين,Ahwar,احوار,2019-09-02,2019-09-08,0
Abyan,أبين,Ahwar,احوار,2019-09-09,2019-09-15,3
Abyan,أبين,Ahwar,احوار,2019-09-16,2019-09-22,3
Abyan,أبين,Ahwar,احوار,2019-09-23,2019-09-29,1
Abyan,أبين,Ahwar,احوار,2019-09-30,2019-10-06,0
Abyan,أبين,Ahwar,احوار,2019-10-07,2019-10-13,0
Abyan,أبين,Ahwar,احوار,2019-10-14,2019-10-20,1
Abyan,أبين,Ahwar,احوار,2019-10-21,2019-10-27,10
Abyan,أبين,Ahwar,احوار,2019-10-28,2019-11-03,3
Abyan,أبين,Ahwar,احوار,2019-11-04,2019-11-10,9
Abyan,أبين,Ahwar,احوار,2019-11-11,2019-11-17,9
Abyan,أبين,Ahwar,احوار,2019-11-18,2019-11-24,14
Abyan,أبين,Ahwar,احوار,2019-11-25,2019-12-01,14
Abyan,أبين,Ahwar,احوار,2019-12-02,2019-12-08,10
Abyan,أبين,Ahwar,احوار,2019-12-09,2019-12-15,14
Abyan,أبين,Ahwar,احوار,2019-12-16,2019-12-22,15
Abyan,أبين,Ahwar,احوار,2019-12-23,2019-12-29,11
Abyan,أبين,Ahwar,احوار,2019-12-30,2020-01-05,9
